id,refInterna,nome,concelho,estado,promotor,tipologias,conclusaoAno,conclusaoMes,preco_m2,precoPedido,link,_lat,_lng,isEmpreendimento
espinho-beach-residences,,ESPINHO BEACH RESIDENCES,ESPINHO,em_construcao,ARLIZ,T1 | T2 | T3 | T4,2026,12,,,https://espinhobeachresidences.pt,41.00279747137172,-8.64483656250803,true
light-sea,,LIGHT SEA,ESPINHO,em_construcao,GRUPO MAFAVIS,T1 | T2 | T3,2026,12,,,https://mafavis.pt/portfolio/light-sea/,41.00876586582515,-8.635710489685447,true
the-line,,THE LINE,PORTO,em_construcao,GRUPO MAFAVIS,T2,2026,12,,,https://mafavis.pt/portfolio/the-line/,41.16490244275441,-8.635848271097249,true
blackwhite,,BLACK&WHITE,ESPINHO,em_construcao,SALGUEIRO PROPERTIES,T1 | T2 | T3 | T4,2026,12,,,https://blackwhite.pt,41.00639962337669,-8.627753231682597,true
twins-22,,TWINS 22,ESPINHO,concluido,,T1 | T2 | T3,2025,12,,,https://twins22.pt,41.00217838827017,-8.638982350142372,true
green-golf-villas,,GREEN GOLF VILLAS,ESPINHO,licenciado,,T3+1 | T4,2028,12,,,,41.14119731337355,-8.568019960489835,true
orizon-living,,ORIZON LIVING,GONDOMAR,licenciado,SHALU INVESTMENTS,T1 A T4,2028,12,,,https://www.shaluinvest.pt/orizon-living,41.14119731337355,-8.568019960489835,true
lurion,,Lurion,,em_construcao,,,2028,12,,,https://revito.pt/project/solar/,41.13324972791349,-8.599380974599644,true
edificio-quinta-amarela,,Edificio Quinta Amarela,,concluido,,,2025,12,,,https://imotolouse.pt/portfolio/quinta-amarela/,41.16380461946861,-8.626332431884752,true
the-garden---matosinhos---colegio-efanor,,The Garden - Matosinhos - Colégio Efanor,,em_construcao,,,2027,12,,,https://www.jardinsefanor.pt/pages/edificio-lake/,41.18622693333881,-8.650575274212445,true
santas-residence,,Santa´s Residence,,em_construcao,,,2027,12,,,https://jcgroup.pt/jcimobiliaria/imoveis/aguas-santas/,41.21174431980964,-8.57398568955385,true
unique---padrao-da-legua---av-xana-gusmao,,Unique - Padrão da Légua - Av. Xana Gusmão,,em_construcao,,,2027,12,,,https://www.idealista.pt/empreendimento/33989967/,41.19120673838551,-8.633362131883537,true
cais-de-leca,,Cais de Leça,,em_construcao,,,2027,12,,,https://www.idealista.pt/empreendimento/33985409/,41.19490723468792,-8.69333716071897,true
val-douro-palace,,Val D'Ouro Palace,,em_construcao,,,2027,12,,,https://valdouropalace.com/pt/home-2/,41.14580811803748,-8.621418674214297,true
the-view-ii,,THE VIEW II,GONDOMAR,em_construcao,RIVAGE,T3,2028,12,,,https://www.rivage.pt,41.138206195174526,-8.569972660721525,true
aurora-flower-tower,,Aurora Flower Tower,,em_construcao,,,2027,12,,,https://www.vizta.pt/pt/projetos/flower-tower-aurora/3616/?utm_source=google&utm_medium=cpc&utm_campaign=aurora_brand&gad_source=1&gad_campaignid=23009199109&gbraid=0AAAAACKIjOkCn8AGRlntX3SFfkkFkt9ue&gclid=Cj0KCQjwl5jHBhDHARIsAB0Yqjxj4oQD8COAenud-Az3Sfey04yxL9L35lyqLKWBOcPVg6fhXF0vtIEaAi1PEALw_wcB,41.19865562544128,-8.692305958869394,true
oceans-residence,,Ocean´s Residence,,em_construcao,,,,,,,https://www.idealista.pt/empreendimento/33217139/,41.27793998144888,-8.72407064537272,true
serpa-687,,Serpa 687,,em_construcao,,,2026,12,,,https://www.martinaarch.com/project/sp687/,41.18103519400735,-8.69118058770581,true
pleno,,Pleno,,em_construcao,,,2027,12,,,https://www.vizta.pt/pt/projetos/pleno/4051/,41.20236599443278,-8.567972789554286,true
miramar-iv,,Miramar IV,,em_construcao,,,2027,12,,,https://www.sublimar.pt/edificios-residenciais/,41.11888377446066,-8.631533077860519,true
cedofeita-271,,Cedofeita 271,,em_construcao,,,2027,12,,,https://www.idealista.pt/empreendimento/34400011/,41.15193445457889,-8.61776491654277,true
alvares-cabral-91,,Alvares Cabral 91,,em_construcao,,,2026,12,,,https://royal-ventures.com/projects/republica-square/,41.15536864442187,-8.617731489556366,true
ivens-734,,Ivens 734,,,,,,,,,https://royal-ventures.com/projects/ivens-matosinhos-sul/,41.18112664356008,-8.690685874212722,true
catarina-677,,Catarina 677,,,,,,,,,https://royal-ventures.com/projects/santa-catarina/,41.15240873160375,-8.60499246072091,true
sa-da-bandeira-3139,,Sá da Bandeira 31/39,,,,,,,,,https://royal-ventures.com/projects/sa-da-bandeira/,41.14665408674756,-8.610243076063638,true
almada-631,,Almada 631,,,,,,,,,https://royal-ventures.com/projects/almada/,41.15319693753287,-8.612223618392102,true
passos-manuel-182,,Passos Manuel 182,,concluido,,,2025,12,,,https://www.idealista.pt/empreendimento/31693901/,41.14686526957011,-8.605599560721135,true
aliados-9,,Aliados 9,,concluido,,,2025,12,,,https://www.idealista.pt/empreendimento/34130962/,41.1472694832845,-8.611646283837771,true
palacio-fervenca,,Palácio Fervença,,concluido,,,2025,12,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-de-luxo-em-vila-nova-de-gaia/21689481,41.13733062671569,-8.610692119804538,true
